"","location","time","fertility_rate","life_expectancy","pop_mlns"
"1","AUS",1960,3.5,70.9,10.275
"2","AUS",1961,3.5,71.2,10.5082
"3","AUS",1962,3.4,71,10.7005
"4","AUS",1963,3.3,71.1,10.9069
"5","AUS",1964,3.2,70.7,11.1216
"6","AUS",1965,3,71,11.3409
"7","AUS",1966,2.9,70.8,11.5995
"8","AUS",1967,2.8,71.2,11.79908
"9","AUS",1968,2.9,70.9,12.00863
"10","AUS",1969,2.9,71.1,12.26301
"11","AUS",1970,2.9,70.8,12.50735
"12","AUS",1971,2.9,71.6,13.06726
"13","AUS",1972,2.7,72,13.30366
"14","AUS",1973,2.5,72.1,13.50454
"15","AUS",1974,2.3,71.9,13.72257
"16","AUS",1975,2.1,72.7,13.893
"17","AUS",1976,2.1,72.8,14.03308
"18","AUS",1977,2,73.4,14.19223
"19","AUS",1978,1.9,73.7,14.35925
"20","AUS",1979,1.9,74.3,14.51573
"21","AUS",1980,1.9,74.6,14.69536
"22","AUS",1981,1.9,74.9,14.92326
"23","AUS",1982,1.9,74.7,15.18425
"24","AUS",1983,1.9,75.5,15.39347
"25","AUS",1984,1.8,75.8,15.57939
"26","AUS",1985,1.9,75.6,15.78831
"27","AUS",1986,1.9,76.1,16.01835
"28","AUS",1987,1.8,76.3,16.26387
"29","AUS",1988,1.8,76.3,16.53216
"30","AUS",1989,1.8,76.5,16.81442
"31","AUS",1990,1.9,77,17.06513
"32","AUS",1991,1.8,77.4,17.28404
"33","AUS",1992,1.9,77.5,17.479
"34","AUS",1993,1.9,78,17.635
"35","AUS",1994,1.8,78,17.805
"36","AUS",1995,1.8,77.9,18.005
"37","AUS",1996,1.8,78.2,18.225
"38","AUS",1997,1.8,78.5,18.423
"39","AUS",1998,1.8,78.7,18.608
"40","AUS",1999,1.8,79,18.812
"41","AUS",2000,1.8,79.3,19.029
"42","AUS",2001,1.7,79.7,19.275
"43","AUS",2002,1.8,80,19.495
"44","AUS",2003,1.8,80.3,19.721
"45","AUS",2004,1.8,80.6,19.933
"46","AUS",2005,1.8,80.9,20.177
"47","AUS",2006,1.9,81.1,20.451
"48","AUS",2007,2,81.4,20.828
"49","AUS",2008,2,81.5,21.249
"50","AUS",2009,2,81.6,21.692
"51","AUS",2010,2,81.8,22.032
"52","AUS",2011,1.9,82,22.34
"53","AUS",2012,1.9,82.1,22.728
"54","AUS",2013,1.9,82.2,23.126
"55","AUS",2014,1.8,82.4,23.491
"56","AUT",1960,2.7,68.7,7.047539
"57","AUT",1961,2.8,69.7,7.086298
"58","AUT",1962,2.8,69.4,7.129864
"59","AUT",1963,2.8,69.6,7.175811
"60","AUT",1964,2.8,70,7.223801
